ID,gender,female,age,age_18_29,age_30_49,age_50_64,age_65_more,race,race2,race_white_nonhisp,race_black_nonhisp,race_hisp,educ_aggre,educ,educ_hs,educ_somecoll,educ_collegegrad,educ_postgrad,relationship,married,employed,industry,jobduty_a,jobduty_b,jobduty_c,jobduty_d,jobduty_e,income,income_agg,inc_less30k,inc_30to75k,inc_75kmore,hhinternet,internet_agg,internet_disagg,int_useconstantly,int_usefewtimes_orless,soc_media,RIDEAV,AVaware,AVfeedback,AVenthu,AVworry,AVsafe1,AVsafe2,AVreg_lanes,AVreg_restr,AVreg_driver,AVfuture_elderly,AVfuture_job,AVfuture_own,AVfuture_drive,AVfuture_traffic,AVaccper,pos_safe,pos_multitask,pos_exper,pos_indep,pos_stress,pos_long,pos_conv,neg_safe,neg_enjdrv,neg_tech,neg_hack,neg_trust,predict_doc,predict_busi_auto,predict_dronedelivery,predict_3dprinting,predict_AVonroads,WORK3A,WORK3B,WORK3C,WORK3D,WORK3E,WORK3F
100197,2,1,4,0,0,0,1,1,1,1,0,0,2,3,0,1,0,0,3,0,0,11,0,0,0,0,0,3,3,1,0,0,1,1,3,0,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,2,2,2,2,2,2,2
100260,1,0,4,0,0,0,1,1,1,1,0,0,1,5,0,0,1,0,6,0,1,7,1,0,1,0,0,4,2,0,1,0,1,1,4,0,1,1,1,2,2,3,3,4,4,3,3,3,2,2,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,2,2,2,2,2,3,2,2
100314,1,0,4,0,0,0,1,1,1,1,0,0,2,3,0,1,0,0,2,1,0,11,0,0,0,0,0,4,2,0,1,0,1,1,2,1,0,1,1,2,3,3,3,3,3,2,2,2,2,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,2,2,2,2,2,2
100363,2,1,2,0,1,0,0,1,1,1,0,0,1,6,0,0,0,1,1,1,1,2,0,0,1,0,0,9,1,0,0,1,1,1,3,0,1,1,1,2,3,3,3,3,3,2,3,2,2,2,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,3,3,3,3,3
100446,2,1,3,0,0,1,0,3,4,0,0,0,1,6,0,0,0,1,6,0,1,5,0,1,1,0,0,7,1,0,0,1,1,1,2,1,0,1,1,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,3,3
100514,1,0,4,0,0,0,1,1,1,1,0,0,2,3,0,1,0,0,1,1,0,11,0,0,0,0,0,8,1,0,0,1,1,2,5,0,1,2,2,3,2,2,2,2,2,1,1,3,2,2,2,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,2,2,2,2,2,2,2,2
100588,2,1,2,0,1,0,0,5,3,0,0,1,2,4,0,1,0,0,1,1,1,6,0,0,1,1,0,5,2,0,1,0,1,1,1,1,0,1,2,2,2,2,3,2,1,1,3,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,2,2,3,3,3,3,3
100598,2,1,3,0,0,1,0,1,1,1,0,0,1,6,0,0,0,1,1,1,1,6,0,0,1,1,0,8,1,0,0,1,1,1,3,0,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,2,3,3,2,3,2
100604,1,0,2,0,1,0,0,1,1,1,0,0,1,6,0,0,0,1,1,1,1,4,0,1,1,1,0,9,1,0,0,1,1,1,2,1,0,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,3,2,3,3,2,3,2
100637,2,1,3,0,0,1,0,1,1,1,0,0,2,4,0,1,0,0,1,1,1,2,0,0,1,0,0,4,2,0,1,0,1,1,4,0,1,1,1,1,2,4,3,3,2,2,2,2,2,2,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,3,2
